FlightDate,DailyAvgTemperature,DailyAvgDewPoint,DailyAvgRelativeHumidity
2021-08-01,80.61,70.79,73.38
2021-08-02,79.32,64.76,63.65
2021-08-03,75.0,68.06,79.92
2021-08-04,74.63,65.17,74.24
2021-08-05,76.36,64.46,68.23
2021-08-06,78.0,65.12,66.06
2021-08-07,79.0,67.03,68.32
2021-08-08,78.12,66.62,69.12
2021-08-09,80.29,69.96,71.82
2021-08-10,81.48,70.96,71.55
2021-08-11,78.64,70.04,75.52
2021-08-12,80.24,69.8,72.56
2021-08-13,80.55,68.93,69.66
2021-08-14,82.15,70.04,68.72
2021-08-15,76.5,69.38,79.88
2021-08-16,76.71,70.55,81.88
2021-08-17,73.82,70.98,91.24
2021-08-18,79.08,68.83,73.17
2021-08-19,80.32,71.63,75.65
2021-08-20,77.66,70.59,80.32
2021-08-21,79.01,72.12,80.06
2021-08-22,78.04,72.59,83.81
2021-08-23,80.59,71.45,76.27
2021-08-24,84.96,69.96,62.57
2021-08-25,84.73,71.69,66.04
2021-08-26,77.12,69.99,80.65
2021-08-27,81.64,70.28,69.61
2021-08-28,79.22,70.85,76.81
2021-08-29,80.54,71.36,74.95
2021-08-30,79.18,71.25,77.17
2021-08-31,74.62,71.06,88.95
2021-09-01,76.14,68.11,77.67
2021-09-02,77.17,65.12,67.93
2021-09-03,75.21,58.96,59.3
2021-09-04,73.17,56.92,58.55
2021-09-05,74.29,60.29,63.08
2021-09-06,77.02,69.72,78.62
2021-09-07,76.43,70.13,81.62
2021-09-08,75.76,70.68,84.72
2021-09-09,75.41,64.46,73.01
2021-09-10,71.92,54.83,56.73
2021-09-11,74.29,58.38,58.82
2021-09-12,74.46,62.54,67.72
2021-09-13,77.54,63.96,64.53
2021-09-14,78.79,66.17,67.11
2021-09-15,74.46,67.83,80.1
2021-09-16,71.55,68.48,90.03
2021-09-17,73.29,69.47,88.19
2021-09-18,76.73,69.85,80.13
2021-09-19,75.21,71.35,88.26
2021-09-20,73.12,70.15,90.64
2021-09-21,75.01,70.31,86.02
2021-09-22,72.0,66.73,84.35
