FlightHour,HourlyAvgTemperature,HourlyAvgDewPoint,HourlyAvgRelativeHumidity,HourlyAvgWindSpeed,HourlyAvgVisibility
2021-08-01 00,83.0,74.0,74.33,8.0,10.0
2021-08-01 01,83.0,74.0,74.33,9.0,10.0
2021-08-01 02,81.0,75.0,82.03,8.0,10.0
2021-08-01 03,81.0,74.0,79.06,8.0,10.0
2021-08-01 04,79.0,72.0,79.17,4.0,10.0
2021-08-01 05,77.0,71.0,82.03,8.0,10.0
2021-08-01 06,77.33,71.0,81.05,6.0,10.0
2021-08-01 07,76.0,71.5,86.13,6.0,8.5
2021-08-01 08,75.0,71.0,87.68,3.5,10.0
2021-08-01 09,74.0,70.0,87.63,7.0,10.0
2021-08-01 10,74.0,69.0,84.97,6.0,10.0
2021-08-01 11,74.0,69.0,84.97,8.0,10.0
2021-08-01 12,77.0,70.0,79.02,11.0,10.0
2021-08-01 13,80.0,72.0,76.36,12.0,10.0
2021-08-01 14,84.0,73.0,69.59,10.0,9.0
2021-08-01 15,86.0,71.0,61.2,12.0,10.0
2021-08-01 16,88.0,71.0,57.43,15.0,10.0
2021-08-01 17,88.0,70.0,55.32,10.0,10.0
2021-08-01 18,87.0,68.0,53.15,10.0,10.0
2021-08-01 19,86.0,69.0,57.16,12.0,10.0
2021-08-01 20,88.0,68.0,51.65,11.0,10.0
2021-08-01 21,86.0,68.0,55.04,13.0,10.0
2021-08-01 22,84.0,68.0,58.69,8.0,10.0
2021-08-01 23,83.0,68.0,60.81,9.0,10.0
2021-08-02 00,82.0,69.0,65.03,7.0,10.0
2021-08-02 01,80.0,69.0,69.18,8.0,10.0
2021-08-02 02,79.0,69.0,71.72,6.0,10.0
2021-08-02 03,78.0,70.0,76.19,8.0,10.0
2021-08-02 04,77.0,69.0,76.62,5.0,10.0
2021-08-02 05,76.0,69.0,79.47,7.0,10.0
2021-08-02 06,75.0,68.0,78.86,7.0,10.0
2021-08-02 07,74.0,68.0,81.82,6.0,5.25
2021-08-02 08,73.0,67.0,81.2,7.0,10.0
2021-08-02 09,72.0,66.0,81.41,5.0,10.0
2021-08-02 10,72.0,66.0,81.41,7.0,8.0
2021-08-02 11,73.0,66.0,78.7,5.0,8.0
2021-08-02 12,75.0,66.0,73.59,5.0,8.0
2021-08-02 13,78.0,66.0,66.39,4.0,8.0
2021-08-02 14,81.0,63.0,54.36,5.0,8.0
2021-08-02 15,83.0,61.0,47.62,5.0,8.0
2021-08-02 16,85.0,62.0,46.42,8.0,8.0
2021-08-02 17,87.0,60.0,40.31,7.0,9.0
2021-08-02 18,89.0,58.0,34.97,5.0,9.0
2021-08-02 19,87.0,54.0,32.34,8.0,9.0
2021-08-02 20,86.0,61.0,43.1,10.0,9.0
2021-08-02 21,85.0,61.0,44.65,9.0,8.0
2021-08-02 22,83.0,60.0,46.12,9.0,8.0
2021-08-02 23,79.0,63.0,58.04,6.0,9.0
2021-08-03 00,76.0,69.0,79.47,0.0,7.0
2021-08-03 01,75.0,69.0,81.9,0.0,7.0
2021-08-03 02,76.0,70.0,81.96,6.0,8.0
2021-08-03 03,76.0,68.0,76.53,4.0,8.0
2021-08-03 04,75.0,68.0,78.86,6.0,9.0
2021-08-03 05,75.0,67.0,75.92,5.0,9.0
2021-08-03 06,74.0,68.0,81.82,5.0,9.0
2021-08-03 07,74.0,68.0,81.82,3.0,8.0
2021-08-03 08,74.0,69.0,84.97,5.0,7.0
2021-08-03 09,72.0,67.0,83.99,8.0,9.0
2021-08-03 10,72.0,67.0,83.99,6.0,7.0
2021-08-03 11,73.0,68.0,84.34,8.0,7.0
2021-08-03 12,73.0,67.5,82.77,7.5,7.5
2021-08-03 13,73.0,66.0,78.7,9.0,8.0
2021-08-03 14,75.0,67.0,75.92,6.0,9.0
2021-08-03 15,77.0,67.0,71.03,7.0,10.0
2021-08-03 16,79.0,67.0,66.49,6.0,10.0
2021-08-03 17,80.0,66.0,62.17,9.0,10.0
2021-08-03 18,81.0,66.0,60.37,7.0,10.0
2021-08-03 19,83.0,67.0,58.55,9.0,10.0
2021-08-03 20,81.0,65.0,58.1,7.0,10.0
2021-08-03 21,80.0,67.0,64.14,9.0,10.0
2021-08-03 22,71.5,69.17,92.58,15.33,2.21
2021-08-03 23,73.33,71.0,92.98,9.33,9.33
2021-08-04 00,73.0,67.0,81.2,7.0,10.0
2021-08-04 01,72.0,68.0,87.24,9.0,10.0
2021-08-04 02,73.0,68.0,84.34,8.0,10.0
2021-08-04 03,73.0,69.0,87.59,6.0,10.0
2021-08-04 04,71.0,68.0,89.94,7.0,9.0
2021-08-04 05,71.0,68.0,89.94,6.0,9.0
2021-08-04 06,71.0,67.0,86.59,7.0,9.0
2021-08-04 07,70.0,67.0,89.9,6.0,8.0
2021-08-04 08,70.0,67.0,89.9,6.0,8.0
2021-08-04 09,71.0,67.0,86.59,6.0,9.0
2021-08-04 10,70.5,67.0,88.24,6.0,8.0
2021-08-04 11,71.0,67.0,86.59,6.0,7.33
2021-08-04 12,72.0,66.0,81.32,8.0,9.5
2021-08-04 13,72.0,63.0,73.47,9.5,10.0
2021-08-04 14,74.5,63.5,68.7,8.5,10.0
2021-08-04 15,78.0,64.0,61.92,6.0,10.0
2021-08-04 16,79.0,62.0,56.23,6.0,10.0
2021-08-04 17,81.0,63.0,54.36,0.0,10.0
2021-08-04 18,83.0,62.0,49.51,4.0,10.0
2021-08-04 19,84.0,62.0,47.78,7.0,10.0
2021-08-04 20,83.0,62.0,49.51,5.0,10.0
2021-08-04 21,83.0,60.0,46.12,5.0,10.0
2021-08-04 22,82.0,62.0,50.97,7.0,10.0
2021-08-04 23,80.0,62.0,54.23,8.0,10.0
2021-08-05 00,78.0,63.0,59.78,4.0,10.0
2021-08-05 01,77.0,63.0,62.0,6.0,10.0
2021-08-05 02,75.0,64.0,68.64,7.0,10.0
2021-08-05 03,74.0,64.0,71.21,7.0,10.0
2021-08-05 04,72.0,65.0,78.35,6.0,10.0
