FlightMonth,MonthlyAvgTemperature,MonthlyAvgDewPoint,MonthlyAvgRelativeHumidity
2021-08,78.67,69.68,75.58
2021-09,73.56,63.83,73.74
2021-10,66.32,57.69,75.78
2021-11,52.52,37.33,59.47
2021-12,56.46,48.8,77.46
2022-01,44.06,31.68,64.96
2022-02,52.02,38.51,63.75
2022-03,57.46,41.29,60.59
2022-04,63.09,46.84,59.42
2022-05,72.86,59.93,66.4
2022-06,80.16,65.12,62.82
2022-07,80.34,70.58,73.96
2022-08,77.58,69.61,78.08
2022-09,74.05,61.45,67.64
2022-10,62.11,47.3,61.76
2022-11,56.99,45.3,67.75
2022-12,48.37,39.43,73.74
2023-01,52.44,43.0,73.0
2023-02,56.56,45.72,69.92
2023-03,58.35,43.12,61.49
2023-04,63.14,48.63,63.87
2023-05,69.51,57.57,68.33
2023-06,75.34,63.39,69.24
2023-07,81.73,68.87,67.25
